GameFileName,GameName,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags,VPS-ID
" Dava's Everquest II - Pinball Tribute (Original 2023) Davadruix 1.1.1 MOD"," Dava's Everquest II - Pinball Tribute (Original 2023)",Original,2023,,SS,,"Fantasy, Roleplaying",,,,,"Davadruix, JPSalas",1.1.1,,"MOD",UYWJJ45WDd
" Jolly Park Oktoberfest (Original 2024) Oly2 1.0.0"," Jolly Park Oktoberfest (Original 2024)",Original,2024,,SS,,"Amusement Park, Funfair, Oktoberfest",,,,,"Oly2, JPSalas, Akiles5000, Dark, Destruk",1.0.0,jolypark,"Music",ULjArOtFrP
"1-2-3 (Talleres del Llobregat (Automaticos) 1973) JPSalas 4.0.0","1-2-3 (Talleres del Llobregat (Automaticos) 1973)",Talleres del Llobregat (Automaticos),1973,1,EM,,"TV Show, Game Show","https://www.ipdb.org/machine.cgi?id=5247",5247,,,"JPSalas",4.0.0,,,Saxn4nV9
"1024 Bytes (Original 2006) NorthernPinballTeam 1.0","1024 Bytes (Original 2006)",Original,2006,1,SS,,"Technology",,,,,"NorthernPinballTeam",1.0,,,R_qTJYElLc
"2 in 1 (Bally 1964) Margoni 1.0","2 in 1 (Bally 1964)",Bally,1964,2,EM,,"Cards","http://www.ipdb.org/machine.cgi?id=2698",2698,,"Ted Zale","Margoni",1.0,,,sfa5Y-wOJj
"2 in 1 (Bally 1964) Loserman76 1.0 MOD","2 in 1 (Bally 1964)",Bally,1964,2,EM,,"Cards","http://www.ipdb.org/machine.cgi?id=2698",2698,,"Ted Zale","Loserman76, -=Kees=-",1.0,,"MOD",AiSLRINv
"2 in 1 (Bally 1964) -=Kees=- 1.0","2 in 1 (Bally 1964)",Bally,1964,2,EM,,"Cards","http://www.ipdb.org/machine.cgi?id=2698",2698,,"Ted Zale","-=Kees=-",1.0,,,pWAo_yo9E5
"2001 (Gottlieb 1971) Wrd1972 0.99a SSF MOD VR","2001 (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Fantasy","http://www.ipdb.org/machine.cgi?id=2697",2697,,"Ed Krynski","Wrd1972, Loserman76, Nestorgian, GNance, Leeoneil, Thalamus, BorgDog, Apophis, HauntFreaks, JPSalas",0.99a,,"Hybrid, VR, FSS, MOD, SSF",hOl7UpABdl
"2001 (Gottlieb 1971) Popotte 2.0","2001 (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Fantasy","http://www.ipdb.org/machine.cgi?id=2697",2697,,"Ed Krynski","Popotte",2.0,,,rQvnfHTRUw
"2001 (Gottlieb 1971) Loserman76 1.0a","2001 (Gottlieb 1971)",Gottlieb,1971,1,EM,,"Fantasy","http://www.ipdb.org/machine.cgi?id=2697",2697,,"Ed Krynski","Loserman76, GNance, Pinuck, BorgDog, HauntFreaks, JPSalas",1.0a,,,YTj1TmfZ
"24 (Stern 2009) DGrimmReaper 1.0 MOD VR","24 (Stern 2009)",Stern,2009,4,SS,,"Licensed Theme, TV Show, Crime","http://www.ipdb.org/machine.cgi?id=5419",5419,,"Steve Ritchie","DGrimmReaper, Bigus1, 32assassin, Freneticamnesic",1.0,twenty4_150,"VR, MOD",E4UW_xlEwb
"24 (Stern 2009) NitroNimbus 2.0 MOD","24 (Stern 2009)",Stern,2009,4,SS,,"Licensed Theme, TV Show, Crime","http://www.ipdb.org/machine.cgi?id=5419",5419,,"Steve Ritchie","NitroNimbus, rom, SLAMT1LT",2.0,twenty4_150,"MOD",2HiL0JmuIN
"24 (Stern 2009) Morttis 1.0-2.6 MOD","24 (Stern 2009)",Stern,2009,4,SS,,"Licensed Theme, TV Show, Crime","http://www.ipdb.org/machine.cgi?id=5419",5419,,"Steve Ritchie","Morttis, Arconovum, Bigus1, 32assassin, Freneticamnesic",1.0-2.6,twenty4_150,"FSS, MOD",NNIODYYy
"24 (Stern 2009) Bigus1 2.0 MOD","24 (Stern 2009)",Stern,2009,4,SS,,"Licensed Theme, TV Show, Crime","http://www.ipdb.org/machine.cgi?id=5419",5419,,"Steve Ritchie","Bigus1, 32assassin, Freneticamnesic",2.0,twenty4_150,"MOD",6T98rAIp
"24 (Stern 2009) 32assassin 2.0.1","24 (Stern 2009)",Stern,2009,4,SS,,"Licensed Theme, TV Show, Crime","http://www.ipdb.org/machine.cgi?id=5419",5419,,"Steve Ritchie","32assassin, Freneticamnesic",2.0.1,twenty4_150,,01rWOPkk
"250 cc (Inder 1992) Ext2k 1.0.0 VR","250 cc (Inder 1992)",Inder,1992,4,SS,,"Sports, Motorcycle Racing","http://www.ipdb.org/machine.cgi?id=4089",4089,,,"Ext2k, JPSalas, TastyWasps",1.0.0,ind250cc,"VR",4YKrmqyUqy
"250 cc (Inder 1992) JPSalas 4.0.0","250 cc (Inder 1992)",Inder,1992,4,SS,,"Sports, Motorcycle Racing","http://www.ipdb.org/machine.cgi?id=4089",4089,,,"JPSalas",4.0.0,ind250cc,,Gw5kOfmC
"3-In-Line (Bally 1963) Alois 1.2","3-In-Line (Bally 1963)",Bally,1963,4,EM,,"Majorettes","https://www.ipdb.org/machine.cgi?id=2549",2549,,"Ted Zale","Alois",1.2,,,ykWYxaFn
"300 (Maresa 1975) NitroNimbus 2.0 MOD","300 (Maresa 1975)",Maresa,1975,1,EM,,"Sports, Bowling","https://www.ipdb.org/machine.cgi?id=4633",4633,,,"NitroNimbus",2.0,,"MOD",UDkd2BZr-i
"300 (Gottlieb 1975) Scampa123 1.1 MOD VR","300 (Gottlieb 1975)",Gottlieb,1975,4,EM,,"Sports, Bowling","http://www.ipdb.org/machine.cgi?id=2539",2539,,"Ed Krynski","Scampa123, Loserman76, Rawd, Pritch33, Leojreimroc, Apophis, HauntFreaks",1.1,,"VR, MOD, Hybrid",dru4vO0W
"300 (Gottlieb 1975) Loserman76 1.0.0f","300 (Gottlieb 1975)",Gottlieb,1975,4,EM,,"Sports, Bowling","http://www.ipdb.org/machine.cgi?id=2539",2539,,"Ed Krynski","Loserman76, Conram29, Francisco666, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,,,9pDvjPBe
"300 Prepare for Glory (Original 2008) Brad Bambara 1.0","300 Prepare for Glory (Original 2008)",Original,2008,1,,,"History, Movie",,,,,"Brad Bambara",1.0,,,5N-mukLuWM
"300 Prepare for Glory (Original 2008) Pinner  MOD","300 Prepare for Glory (Original 2008)",Original,2008,1,,,"History, Movie",,,,,"Pinner, Brad Bambara",,,"MOD",W_BvZdYyJq
